,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
481,"Hitachi 1.8 Ton 3 Star Split Inverter AC  - White, Gold",69600,45999,1236,1.8,405 Ratings & 40 Reviews,3.8,Hitachi,3
482,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,52000,46350,749,1.5,,,SAMSUNG,5
483,LG 1.5 Ton 4 Star Split Dual Inverter AC  - White,71990,43450,838,1.5,,,LG,4
484,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,48900,32219,1785,1.5,,,Godrej,3
485,Godrej 2 Ton 3 Star Split Inverter AC  - White,69900,48990,1785,2,12 Ratings & 0 Reviews,3.5,Godrej,3
486,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,57990,34499,1044,1.5,"24,187 Ratings & 2,404 Reviews",4.2,SAMSUNG,3
487,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,60990,36990,1835,1.5,4 Ratings & 0 Reviews,3.8,Lloyd,3
488,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,72900,49990,774,1.5,270 Ratings & 28 Reviews,4.1,Panasonic,5
489,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,57990,39989,678,1,24 Ratings & 2 Reviews,2.5,Lloyd,5
490,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,68990,34790,1550,1.5,3 Ratings & 0 Reviews,2.3,Voltas,3
491,Lloyd 2 Ton 3 Star Split Inverter AC  - White,73990,48390,1263,2,766 Ratings & 82 Reviews,4,Lloyd,3
492,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - White, Gold",60090,49600,1449,1.5,83 Ratings & 7 Reviews,4.1,Hitachi,5
493,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,69990,38599,1540,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,4
494,MarQ by Flipkart Convertible 4-in-1 Cooling 1.5 Ton 5 Star Split Inverter AC  - White,56999,33499,857,1.5,"1,996 Ratings & 239 Reviews",4,MarQ,5
495,Blue Star 1.5 Ton 3 Star Window AC  - White,39500,31450,1168,1.5,,,Blue,3
496,"Blue Star 1 Ton 3 Star Split Inverter AC  - Silver, White",45000,34500,1122,1,53 Ratings & 5 Reviews,4.4,Blue,3
497,Blue Star Convertible 4 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter WiFi Inverter AC Multi S...,71750,48700,1345,1.5,,,Blue,5
498,Voltas 2 Ton 2 Star Window AC  - White,50990,34990,1542,2,10 Ratings & 0 Reviews,3.7,Voltas,2
499,"Godrej 1.5 Ton 3 Star Split Inverter AC  - White, Gold",47900,37990,1046,1.5,21 Ratings & 2 Reviews,4.2,Godrej,3
500,CARRIER 2 Ton 3 Star Split Inverter AC  - White,82490,52669,2098,2,,,CARRIER,3
501,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,52250,35490,1750,1.5,11 Ratings & 1 Reviews,4.6,Blue,3
502,Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,51990,32990,918,1.2,"2,293 Ratings & 443 Reviews",4.3,Lloyd,3
503,Lloyd 1 Ton 3 Star Window AC  - White,33990,29989,808,1,8 Ratings & 1 Reviews,5,Lloyd,3
504,Lloyd 1 Ton 3 Star Window AC  - White,33990,29989,808,1,8 Ratings & 1 Reviews,5,Lloyd,3
505,"CARRIER Flexicool Convertible 4-in-1 Cooling 1.2 Ton 5 Star Split Inverter Auto Cleanser, Dual Filtrat...",64590,38999,1050,1.2,"7,818 Ratings & 953 Reviews",4.4,CARRIER,5
506,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,66500,48900,1375,1.5,13 Ratings & 2 Reviews,4.2,Blue,5
507,CANDY 1.5 Ton 3 Star Window AC  - White,39000,26990,1180,1.5,4 Ratings & 0 Reviews,5,CANDY,3
508,CARRIER 1 Ton 3 Star Window AC  - White,29845,27000,1120,1,"1,389 Ratings & 177 Reviews",4.3,CARRIER,3
509,Blue Star 1 Ton 3 Star Split Inverter AC  - White,49500,34900,669,1,"2,255 Ratings & 225 Reviews",4.2,Blue,3
510,Haier 1.5 Ton 4 Star Split Inverter AC  - White,65000,37485,1630,1.5,,,Haier,4
511,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,63990,37680,1043,1.5,,,Lloyd,3
512,Hitachi 1.5 Ton 5 Star Split Inverter Expandable AC  - Gold,60500,43999,1540,1.5,"3,098 Ratings & 314 Reviews",4,Hitachi,5
513,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,59990,37399,1002,1.5,"2,293 Ratings & 443 Reviews",4.3,Lloyd,3
514,Lloyd 1.25 Ton 3 Star Split Inverter AC  - White,52990,34999,1485,1.25,775 Ratings & 92 Reviews,4.3,Lloyd,3
515,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,60000,49990,1485,1.5,,,LG,5
516,Daikin 1.8 Ton 3 Star Split Inverter AC  - White,69300,51400,1202,1.8,,,Daikin,3
517,SAMSUNG 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,70990,53190,1145,2,,,SAMSUNG,3
518,Voltas 2 Ton 3 Star Split Inverter AC  - White,75000,48490,2000,2,36 Ratings & 1 Reviews,4,Voltas,3
519,O General 2 Ton 2 Star Window AC  - White,52900,51500,2220,2,,,O,2
520,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,54500,44990,848,1.5,8 Ratings & 1 Reviews,3.9,Panasonic,5
521,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,69990,37980,977,1.5,,,SAMSUNG,3
522,Panasonic 1 Ton 3 Star Split AC  - White,48100,32150,915,1,,,Panasonic,3
523,Blue Star 2 Ton 3 Star Split AC  - White,60000,58900,1800,2,34 Ratings & 0 Reviews,4.1,Blue,3
524,Lloyd 1.5 Ton 3 Star Window AC  - White,40990,29190,1621,1.5,4 Ratings & 0 Reviews,4.8,Lloyd,3
525,Daikin 1.8 Ton 3 Star Split Inverter AC  - White,63700,52250,2000,1.8,28 Ratings & 4 Reviews,4,Daikin,3
526,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model Desert Series 2.2 Ton 4 Star S...,87900,69979,1351,2.2,304 Ratings & 40 Reviews,4.1,Panasonic,4
527,Voltas 2 Ton 5 Star Split Inverter AC  - White,85990,57900,1351,2,47 Ratings & 1 Reviews,4.3,Voltas,5
528,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - Gold, White",60500,45190,1540,1.5,,,Hitachi,5
529,"LG 1 Ton 3 Star Split Dual Inverter AC  - White, Maroon",47990,35990,1080,1,237 Ratings & 36 Reviews,4.3,LG,3
530,Panasonic 1.5 Ton 4 Star Split Inverter AC  - White,66990,40999,1455,1.5,,,Panasonic,4
531,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,58000,42500,1455,1.5,4 Ratings & 1 Reviews,4,Blue,3
532,CARRIER 1.5 Ton 4 Star Window AC  - White,43090,29999,1558,1.5,890 Ratings & 88 Reviews,4.3,CARRIER,4
533,Blue Star 2 Ton 3 Star Window AC  - White,44000,39999,2108,2,"3,006 Ratings & 381 Reviews",4.2,Blue,3
534,VG 1.5 Ton 2 Star Split AC  - White,39000,30990,1123,1.5,,,VG,2
535,IFB 1.5 Ton 3 Star Split Inverter AC  - White,44500,41500,1840,1.5,8 Ratings & 1 Reviews,4.6,IFB,3
536,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,69500,43890,1456,1.5,40 Ratings & 5 Reviews,3.9,Blue,5
537,Lloyd 1.5 Ton 4 Star Split Inverter AC  - White,59990,38975,972,1.5,5 Ratings & 1 Reviews,4.4,Lloyd,4
538,Haier 1.5 Ton 5 Star Split Inverter AC  - White,65000,45990,1440,1.5,39 Ratings & 2 Reviews,4.1,Haier,5
539,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,57900,35999,1660,1.5,,,Panasonic,3
540,Daikin 1.8 Ton 4 Star Split Inverter AC  - White,72900,53199,1950,1.8,13 Ratings & 2 Reviews,3.8,Daikin,4
541,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,54990,32990,1740,1.5,"3,188 Ratings & 545 Reviews",4.5,ONIDA,3
