,Unnamed: 0,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
164,164,Blue Star 1 Ton 5 Star Window AC  - White,37000.0,31500,708,1.0,950 Ratings & 96 Reviews,4.1,Blue,5.0
165,165,Panasonic 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi-fi Connect  - White,61400.0,41990,972,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,3.0
166,166,Daikin 1 Ton 4 Star Split Inverter AC  - White,48200.0,36499,1200,1.0,21 Ratings & 2 Reviews,4.1,Daikin,4.0
167,167,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,60990.0,35000,977,1.5,21 Ratings & 2 Reviews,4.1,SAMSUNG,3.0
168,168,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,69990.0,40499,1750,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5.0
169,169,Voltas 2 Ton 3 Star Split AC  - White,81990.0,47999,1323,2.0,4 Ratings & 1 Reviews,3.3,Voltas,3.0
170,170,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,60990.0,35000,977,1.5,4 Ratings & 1 Reviews,3.3,SAMSUNG,3.0
171,171,Voltas 0.75 Ton 3 Star Split AC  - White,48990.0,26999,940,0.75,"2,655 Ratings & 227 Reviews",4.1,Voltas,3.0
172,172,Hitachi 1.5 Ton 3 Star Split Inverter Hot and Cold AC  - White,63300.0,44999,1847,1.5,3 Ratings & 0 Reviews,4.3,Hitachi,3.0
173,173,"Blue Star Convertible 4 in 1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Multi Sensors, Stabalizer ...",51500.0,32690,704,1.0,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3.0
174,174,Hitachi 1 Ton 2 Star Window AC  - White,28990.0,28420,921,1.0,"3,847 Ratings & 428 Reviews",4.1,Hitachi,2.0
175,175,CANDY 1 Ton 4 Star Split Inverter AC  - White,57500.0,29999,600,1.0,431 Ratings & 83 Reviews,4.0,CANDY,4.0
176,176,LG 2 Ton 4 Star Window Dual Inverter AC with Wi-fi Connect  - White,70990.0,46620,1384,2.0,776 Ratings & 86 Reviews,3.9,LG,4.0
177,177,Daikin 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,83900.0,56999,1575,1.8,"2,330 Ratings & 227 Reviews",4.2,Daikin,5.0
178,178,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 3 Star Split Inverter 7 Stage Air Treatmen...",51990.0,38490,1005,1.5,632 Ratings & 82 Reviews,4.2,IFB,3.0
179,179,"LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with A...",61990.0,37490,571,1.0,"2,551 Ratings & 272 Reviews",4.2,LG,5.0
180,180,"Midea 2023 Model 2 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Cleans...",71290.0,41999,2000,2.0,250 Ratings & 34 Reviews,3.9,Midea,3.0
181,181,Panasonic Convertible 7-in-1 with Additional AI Mode Hot & Cold 2023 Model 1.5 Ton 3 Star Split Invert...,61400.0,43990,972,1.5,270 Ratings & 28 Reviews,4.1,Panasonic,3.0
182,182,CARRIER 1.5 Ton 3 Star Split 2 Way Air Directional control with HD Filter(2023 Model AC  - White,64190.0,38999,1350,1.5,106 Ratings & 8 Reviews,4.3,CARRIER,3.0
